assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,code,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,creativity_rank,creativity_rank_type,direct_freekicks_order,direct_freekicks_text,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,goals_conceded,goals_scored,ict_index,ict_index_rank,ict_index_rank_type,id,in_dreamteam,influence,influence_rank,influence_rank_type,minutes,news,news_added,now_cost,own_goals,penalties_missed,penalties_order,penalties_saved,penalties_text,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,threat,threat_rank,threat_rank_type,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards
1,4,316,100,100,7,156074,None,,0,0,0,0,44.5,274,77,None,,1,2,6.6,7.1,2,Rob,6.6,15,0,45.1,174,44,16,False,325.2,73,27,1485,,2020-10-17T22:30:19.025474Z,45,1,0,None,0,,156074.jpg,3.5,0,0,Holding,4.9,False,None,a,1,3,81.0,207,54,60,620543,6447,357989,4208,1.5,13.3,Holding,2
2,3,339,75,75,6,192895,None,,0,0,-1,1,337.7,31,8,None,,1,2,4.5,4.9,0,Kieran,6.0,18,1,76.9,65,10,17,False,300.8,94,33,1520,Calf injury - 75% chance of playing,2021-01-26T10:30:25.655770Z,54,0,0,None,0,,192895.jpg,3.8,0,0,Tierney,7.9,False,None,d,1,3,130.0,144,28,65,734094,1082,919083,16479,1.1,12.0,Tierney,3
0,1,93,100,100,0,195735,2,,0,0,-4,4,51.3,258,151,3,,0,3,1.4,1.9,6,Nicolas,1.4,11,3,36.2,221,103,18,False,129.2,246,103,565,,2020-11-22T18:30:18.803078Z,76,0,0,2,0,,195735.jpg,2.2,1,0,Pépé,0.6,False,None,a,1,3,183.0,102,58,29,32698,173,148328,90,0.2,3.8,Pépé,1
0,0,0,0,0,0,198849,None,,0,0,-3,3,0.0,586,237,None,,0,3,0.0,0.0,0,Lucas,0.0,0,0,0.0,599,237,19,False,0.0,596,237,0,Joined Atletico Madrid on loan until the end of the season on 5/10. - Expected back 01 Jul,2020-10-05T22:30:19.674811Z,47,0,0,None,0,,198849.jpg,0.0,0,0,Torreira,0.1,False,None,u,1,3,0.0,578,236,0,3459,0,17414,12,0.0,0.0,Torreira,0
0,0,18,None,None,0,200089,None,,0,0,-3,3,29.7,313,167,None,,0,3,0.4,0.9,1,Joseph,0.4,3,0,10.1,363,163,20,False,21.2,398,172,234,,None,47,0,0,None,0,,200089.jpg,1.0,0,0,Willock,0.1,False,None,a,1,3,52.0,261,134,7,4581,10,9747,41,0.1,1.5,Willock,1
0,0,2,100,100,0,200641,5,,0,0,-4,4,9.7,380,181,None,,0,3,0.0,0.5,0,Reiss,0.0,0,0,2.4,428,186,21,False,4.2,445,190,70,,2020-12-31T11:00:17.325196Z,51,0,0,None,0,,200641.jpg,1.0,0,0,Nelson,0.0,False,None,a,1,3,10.0,370,175,2,1907,6,6227,14,0.0,0.4,Nelson,0
1,4,81,None,None,0,205533,None,,0,0,-5,5,58.8,236,38,None,,0,4,0.2,0.7,0,Edward,0.2,6,1,24.9,277,38,22,False,74.4,315,38,316,,None,55,0,0,None,0,,205533.jpg,2.0,0,0,Nketiah,0.5,False,None,a,1,3,120.0,158,41,26,49426,88,145754,263,0.0,4.7,Nketiah,0
4,0,102,75,100,5,209289,None,,0,0,0,0,131.2,152,95,None,,0,3,3.4,5.1,2,Emile,4.6,1,0,29.3,251,117,23,False,93.2,288,123,470,Muscle injury - 75% chance of playing,2021-01-26T23:00:26.324851Z,45,0,0,None,0,,209289.jpg,4.8,0,0,Smith Rowe,3.5,False,None,d,1,3,68.0,226,118,29,382850,2411,122795,15328,1.0,6.4,Smith Rowe,0
3,8,285,100,100,6,223340,3,,1,-1,-1,1,384.4,23,18,6,,2,3,7.8,8.3,13,Bukayo,7.8,16,5,140.4,15,10,24,False,374.4,48,17,1503,,2020-12-30T00:00:13.763798Z,54,1,0,None,0,,223340.jpg,4.5,0,0,Saka,10.9,False,None,a,1,3,645.0,15,8,81,1111146,36531,793074,7214,1.4,15.0,Saka,0
0,0,0,0,0,0,242166,None,,0,0,-3,3,0.0,588,239,None,,0,3,0.0,0.0,0,Matteo,0.0,0,0,0.0,601,239,25,False,0.0,598,239,0,Joined Hertha Berlin on loan until the end of the season on 5/10. - Expected back 01 Jul,2020-10-05T17:00:15.072120Z,47,0,0,None,0,,242166.jpg,0.0,0,0,Guendouzi,0.1,False,None,u,1,3,0.0,580,238,0,2725,0,12982,7,0.0,0.0,Guendouzi,0
0,0,10,100,100,2,444145,None,,0,0,-1,1,4.2,401,187,None,,0,3,0.8,1.3,0,Gabriel Teodoro,0.8,0,0,8.6,367,165,26,False,10.8,429,185,162,,2021-01-09T23:30:20.360437Z,49,0,0,None,0,,444145.jpg,2.0,0,0,Martinelli Silva,0.3,False,None,a,1,3,72.0,219,116,8,83271,74,67960,1261,0.2,1.6,Martinelli,0
0,0,0,0,0,0,462424,None,,0,0,-5,5,0.0,480,194,None,,0,2,0.0,0.0,0,William,0.0,0,0,0.0,507,194,27,False,0.0,500,194,0,Joined Nice on loan until the end of the season on 4/1. - Expected back 01 Jul,2021-01-04T23:00:20.315877Z,40,0,0,None,0,,462424.jpg,0.0,0,0,Saliba,0.6,False,None,u,1,3,0.0,457,178,0,30961,0,221621,195,0.0,0.0,Saliba,0
0,0,161,None,None,2,131897,None,,0,0,-3,3,0.3,431,6,None,,0,1,0.0,0.5,0,Mathew,0.0,19,0,13.2,343,21,70,False,132.4,240,21,990,,None,42,0,0,None,0,,131897.jpg,2.3,0,16,Ryan,8.0,False,None,a,1,3,0.0,471,27,25,468613,414,1102357,3806,0.0,6.0,Ryan,1
4,2,175,100,100,2,47431,1,,0,0,-5,5,299.8,44,32,2,,1,3,0.6,1.1,1,Willian,0.6,13,0,55.0,128,70,478,False,130.6,245,102,930,,2020-12-26T18:00:16.845067Z,75,0,0,None,0,,47431.jpg,2.8,0,0,Borges Da Silva,2.9,False,None,a,1,3,118.0,162,88,42,776038,28,1332642,461,0.1,5.6,Willian,0
0,6,224,100,100,3,226597,None,,0,0,0,0,22.3,328,113,None,,1,2,0.0,0.5,0,Gabriel,0.0,13,2,46.0,169,43,494,False,300.0,95,34,1051,,2020-12-26T18:00:16.873188Z,50,0,0,None,0,,226597.jpg,3.9,1,0,Magalhães,5.1,False,None,a,1,3,138.0,140,25,47,1016255,132,1125123,1981,0.0,9.4,Gabriel,1
1,3,207,50,0,4,182539,4,,0,0,-3,3,259.6,58,41,5,,0,3,0.6,0.0,0,Daniel,1.2,12,0,54.3,134,73,501,False,230.6,151,57,1015,Lack of match fitness - 50% chance of playing,2021-01-18T22:00:23.859834Z,47,0,0,None,0,,182539.jpg,2.1,0,0,Ceballos Fernández,0.8,False,None,d,1,3,51.0,266,137,33,139734,7,233269,707,0.3,7.0,Ceballos,3
0,0,140,100,100,3,153256,None,,-1,1,-2,2,73.2,218,133,None,,0,3,1.0,1.5,1,Mohamed Naser,1.0,12,0,20.8,299,140,526,False,108.2,271,115,908,,2020-11-16T22:00:27.131231Z,43,0,0,None,0,,153256.jpg,1.9,0,0,El Sayed Elneny,1.1,False,None,a,1,3,28.0,311,157,23,255139,518,238008,1226,0.2,5.3,Elneny,2
0,0,0,0,0,0,113534,None,,0,0,0,0,0.0,462,19,None,,0,1,0.0,0.0,0,Matt,0.0,0,0,0.0,490,45,527,False,0.0,483,45,0,Transferred to Hibernian,2021-01-09T10:26:30.856796Z,40,0,0,None,0,,113534.jpg,0.0,0,0,Macey,1.5,False,None,u,1,3,0.0,439,14,0,171821,0,110870,539,0.0,0.0,Macey,0
0,0,0,None,None,0,115918,None,,0,0,0,0,0.0,546,56,None,,0,1,0.0,0.5,0,Rúnar Alex,0.0,0,0,0.0,564,72,547,False,0.0,558,72,0,,None,45,0,0,None,0,,115918.jpg,0.0,0,0,Rúnarsson,0.0,False,None,a,1,3,0.0,535,52,0,2342,4,2241,14,0.0,0.0,Rúnarsson,0
1,0,90,75,100,2,167199,None,,0,0,-1,1,61.1,231,141,None,,0,3,1.4,2.3,2,Thomas,1.8,5,0,19.3,309,146,567,False,101.8,278,119,441,Knock - 75% chance of playing,2021-01-26T23:00:27.205457Z,49,0,0,None,0,,167199.jpg,2.0,0,0,Partey,0.3,False,None,d,1,3,30.0,308,155,16,111517,147,100775,463,0.4,3.3,Partey,1
0,10,402,None,None,9,98980,None,,0,0,6,-6,10.0,378,4,None,,1,1,3.0,3.5,0,Emiliano,3.0,18,0,46.7,166,7,12,True,459.0,16,7,1530,,None,51,0,0,None,1,,98980.jpg,5.4,0,60,Martínez,32.9,False,None,a,2,7,0.0,616,65,92,2902489,9925,1034820,2663,0.6,18.0,Martínez,0
0,0,0,100,100,0,21205,None,,0,0,0,0,0.0,537,49,None,,0,1,0.0,0.5,0,Tom,0.0,0,0,0.0,558,68,28,False,0.0,552,68,0,,2020-08-15T10:00:11.430596Z,45,0,0,None,0,,21205.jpg,0.0,0,0,Heaton,0.1,False,None,a,2,7,0.0,526,45,0,3703,34,4938,23,0.0,0.0,Heaton,0
0,2,43,None,None,1,37339,None,,0,0,-2,2,73.0,219,52,None,,1,2,0.0,0.5,0,Ahmed,0.0,0,0,12.2,348,125,29,False,27.2,387,153,129,,None,43,0,0,None,0,,37339.jpg,2.4,0,0,El Mohamady,0.3,False,None,a,2,7,21.0,329,114,12,25363,36,39499,105,0.0,2.8,El Mohamady,0
0,0,0,0,0,0,40564,None,,0,0,-2,2,0.0,493,197,None,,0,3,0.0,0.0,0,Henri,0.0,0,0,0.0,518,198,30,False,0.0,511,196,0,Not included in Aston Villa's 25-man Premier League squad,2020-10-20T22:30:18.217167Z,43,0,0,None,0,,40564.jpg,0.0,0,0,Lansbury,0.1,False,None,u,2,7,0.0,477,195,0,6231,0,18943,24,0.0,0.0,Lansbury,0
0,0,1,None,None,0,47390,None,,0,0,-3,3,0.7,425,169,None,,0,2,-0.2,0.3,0,Neil,-0.2,2,0,0.2,462,174,31,False,0.8,457,174,15,,None,42,0,0,None,0,,47390.jpg,-1.0,0,0,Taylor,0.2,False,None,a,2,7,0.0,467,186,-1,15184,62,28744,56,0.0,-0.2,Taylor,1
0,0,0,None,None,0,79852,None,,0,0,0,0,0.0,459,16,None,,0,1,0.0,0.5,0,Jed,0.0,0,0,0.0,487,42,32,False,0.0,480,42,0,,None,40,0,0,None,0,,79852.jpg,0.0,0,0,Steer,4.3,False,None,a,2,7,0.0,436,11,0,246083,399,288781,818,0.0,0.0,Steer,0
1,3,70,0,0,2,85242,1,,0,0,-1,1,82.9,207,127,1,,1,3,0.0,0.0,0,Conor,0.0,2,1,18.2,315,149,33,False,65.4,330,144,225,Joined Swansea City on loan until the end of the season on 20/1,2021-01-20T23:00:22.557566Z,59,0,0,None,0,,85242.jpg,5.0,0,0,Hourihane,0.1,False,None,u,2,7,33.0,303,151,20,23841,0,26250,51,0.0,3.4,Hourihane,0
0,0,0,0,0,0,89274,None,,0,0,-1,1,0.0,634,256,None,,0,3,0.0,0.0,0,José Ignacio,0.0,0,0,0.0,637,256,34,False,0.0,635,256,0,Contract ended,2020-10-05T07:17:10.828418Z,59,0,0,None,0,,89274.jpg,0.0,0,0,Peleteiro Romallo,0.0,False,None,u,2,7,0.0,634,256,0,1439,0,7654,1,0.0,0.0,Jota,0
